year,variable,value,desc
2017,a1_active,.d,Suppressed for confidentiality
2018,a1_active,.d,Suppressed for confidentiality
2019,a1_active,.d,Suppressed for confidentiality
2020,a1_active,.d,Suppressed for confidentiality
2021,a1_active,.d,Suppressed for confidentiality
2022,a1_active,.d,Suppressed for confidentiality
2017,a1_active,.l,Logical skip
2018,a1_active,.l,Logical skip
2019,a1_active,.l,Logical skip
2020,a1_active,.l,Logical skip
2021,a1_active,.l,Logical skip
2022,a1_active,.l,Logical skip
2017,a1_active,.m,No valid response
2018,a1_active,.m,No valid response
2019,a1_active,.m,No valid response
2020,a1_active,.m,No valid response
2021,a1_active,.m,No valid response
2022,a1_active,.m,No valid response
2017,a1_active,.n,Not in universe
2018,a1_active,.n,Not in universe
2019,a1_active,.n,Not in universe
2020,a1_active,.n,Not in universe
2021,a1_active,.n,Not in universe
2022,a1_active,.n,Not in universe
2017,a1_active,1,Never served in the military
2018,a1_active,1,Never served in the military
2019,a1_active,1,Never served in the military
2020,a1_active,1,Never served in the military
2021,a1_active,1,Never served in the military
2022,a1_active,1,Never served in the military
2017,a1_active,2,Only on active duty for training in the Reserves or National Guard
2018,a1_active,2,Only on active duty for training in the Reserves or National Guard
2019,a1_active,2,Only on active duty for training in the Reserves or National Guard
2020,a1_active,2,Only on active duty for training in the Reserves or National Guard
2021,a1_active,2,Only on active duty for training in the Reserves or National Guard
2022,a1_active,2,Only on active duty for training in the Reserves or National Guard
2017,a1_active,3,Now on active duty
2018,a1_active,3,Now on active duty
2019,a1_active,3,Now on active duty
2020,a1_active,3,Now on active duty
2021,a1_active,3,Now on active duty
2022,a1_active,3,Now on active duty
2017,a1_active,4,"On active duty in the past, but not now"
2018,a1_active,4,"On active duty in the past, but not now"
2019,a1_active,4,"On active duty in the past, but not now"
2020,a1_active,4,"On active duty in the past, but not now"
2021,a1_active,4,"On active duty in the past, but not now"
2022,a1_active,4,"On active duty in the past, but not now"
2017,a1_age,.d,Suppressed for confidentiality
2018,a1_age,.d,Suppressed for confidentiality
2019,a1_age,.d,Suppressed for confidentiality
2020,a1_age,.d,Suppressed for confidentiality
2021,a1_age,.d,Suppressed for confidentiality
2022,a1_age,.d,Suppressed for confidentiality
2017,a1_age,.l,Logical skip
2018,a1_age,.l,Logical skip
2019,a1_age,.l,Logical skip
2020,a1_age,.l,Logical skip
2021,a1_age,.l,Logical skip
2022,a1_age,.l,Logical skip
2017,a1_age,.m,No valid response
2018,a1_age,.m,No valid response
2019,a1_age,.m,No valid response
2020,a1_age,.m,No valid response
2021,a1_age,.m,No valid response
2022,a1_age,.m,No valid response
2017,a1_age,.n,Not in universe
2018,a1_age,.n,Not in universe
2019,a1_age,.n,Not in universe
2020,a1_age,.n,Not in universe
2021,a1_age,.n,Not in universe
2022,a1_age,.n,Not in universe
2017,a1_age,19,18 or 19
2016,a1_age,75,75 or older
2017,a1_age,75,75 or older
2018,a1_age,75,75 or older
2019,a1_age,75,75 or older
2020,a1_age,75,75 or older
2021,a1_age,75,75 or older
2022,a1_age,75,75 or older
2016,a1_born,.d,Suppressed for confidentiality
2017,a1_born,.d,Suppressed for confidentiality
2018,a1_born,.d,Suppressed for confidentiality
2019,a1_born,.d,Suppressed for confidentiality
2020,a1_born,.d,Suppressed for confidentiality
2021,a1_born,.d,Suppressed for confidentiality
2022,a1_born,.d,Suppressed for confidentiality
2016,a1_born,.l,Logical skip
2017,a1_born,.l,Logical skip
2018,a1_born,.l,Logical skip
2019,a1_born,.l,Logical skip
2020,a1_born,.l,Logical skip
2021,a1_born,.l,Logical skip
2022,a1_born,.l,Logical skip
2016,a1_born,.m,No valid response
2017,a1_born,.m,No valid response
2018,a1_born,.m,No valid response
2019,a1_born,.m,No valid response
2020,a1_born,.m,No valid response
2021,a1_born,.m,No valid response
2022,a1_born,.m,No valid response
2016,a1_born,.n,Not in universe
2017,a1_born,.n,Not in universe
2018,a1_born,.n,Not in universe
2019,a1_born,.n,Not in universe
2020,a1_born,.n,Not in universe
2021,a1_born,.n,Not in universe
2022,a1_born,.n,Not in universe
2016,a1_born,1,In the United States
2017,a1_born,1,In the United States
2018,a1_born,1,In the United States
2019,a1_born,1,In the United States
2020,a1_born,1,In the United States
2021,a1_born,1,In the United States
2022,a1_born,1,In the United States
2016,a1_born,2,Outside of the United States
2017,a1_born,2,Outside of the United States
2018,a1_born,2,Outside of the United States
2019,a1_born,2,Outside of the United States
2020,a1_born,2,Outside of the United States
2021,a1_born,2,Outside of the United States
2022,a1_born,2,Outside of the United States
2017,a1_deplstat,.d,Suppressed for confidentiality
2018,a1_deplstat,.d,Suppressed for confidentiality
2019,a1_deplstat,.d,Suppressed for confidentiality
2020,a1_deplstat,.d,Suppressed for confidentiality
2021,a1_deplstat,.d,Suppressed for confidentiality
2022,a1_deplstat,.d,Suppressed for confidentiality
2017,a1_deplstat,.l,Logical skip
2018,a1_deplstat,.l,Logical skip
2019,a1_deplstat,.l,Logical skip
2020,a1_deplstat,.l,Logical skip
2021,a1_deplstat,.l,Logical skip
2022,a1_deplstat,.l,Logical skip
2017,a1_deplstat,.m,No valid response
2018,a1_deplstat,.m,No valid response
2019,a1_deplstat,.m,No valid response
2020,a1_deplstat,.m,No valid response
2021,a1_deplstat,.m,No valid response
2022,a1_deplstat,.m,No valid response
2017,a1_deplstat,.n,Not in universe
2018,a1_deplstat,.n,Not in universe
2019,a1_deplstat,.n,Not in universe
2020,a1_deplstat,.n,Not in universe
2021,a1_deplstat,.n,Not in universe
2022,a1_deplstat,.n,Not in universe
2017,a1_deplstat,1,Yes
2018,a1_deplstat,1,Yes
2019,a1_deplstat,1,Yes
2020,a1_deplstat,1,Yes
2021,a1_deplstat,1,Yes
2022,a1_deplstat,1,Yes
2017,a1_deplstat,2,No
2018,a1_deplstat,2,No
2019,a1_deplstat,2,No
2020,a1_deplstat,2,No
2021,a1_deplstat,2,No
2022,a1_deplstat,2,No
2020,a1_employed,.d,Suppressed for confidentiality
2021,a1_employed,.d,Suppressed for confidentiality
2022,a1_employed,.d,Suppressed for confidentiality
2020,a1_employed,.l,Logical skip
2021,a1_employed,.l,Logical skip
2022,a1_employed,.l,Logical skip
2020,a1_employed,.m,No valid response
2021,a1_employed,.m,No valid response
