year,variable,desc
2017,a1_active,Adult 1 - Active Duty
2018,a1_active,Adult 1 - Active Duty
2019,a1_active,Adult 1 - Active Duty
2020,a1_active,Adult 1 - Active Duty
2021,a1_active,Adult 1 - Active Duty
2022,a1_active,Adult 1 - Active Duty
2016,a1_age,Adult 1 - Age in Years
2017,a1_age,Adult 1 - Age in Years
2018,a1_age,Adult 1 - Age in Years
2019,a1_age,Adult 1 - Age in Years
2020,a1_age,Adult 1 - Age in Years
2021,a1_age,Adult 1 - Age in Years
2022,a1_age,Adult 1 - Age in Years
2016,a1_born,Adult 1 - Where Born
2017,a1_born,Adult 1 - Where Born
2018,a1_born,Adult 1 - Where Born
2019,a1_born,Adult 1 - Where Born
2020,a1_born,Adult 1 - Where Born
2021,a1_born,Adult 1 - Where Born
2022,a1_born,Adult 1 - Where Born
2017,a1_deplstat,Adult 1 - Deployment Status
2018,a1_deplstat,Adult 1 - Deployment Status
2019,a1_deplstat,Adult 1 - Deployment Status
2020,a1_deplstat,Adult 1 - Deployment Status
2021,a1_deplstat,Adult 1 - Deployment Status
2022,a1_deplstat,Adult 1 - Deployment Status
2020,a1_employed,Adult 1 - Current Employment Status
2021,a1_employed,Adult 1 - Current Employment Status
2022,a1_employed,Adult 1 - Current Employment Status
2016,a1_grade,Adult 1 - Highest Completed Year of School
2017,a1_grade,Adult 1 - Highest Completed Year of School
2018,a1_grade,Adult 1 - Highest Completed Year of School
2019,a1_grade,Adult 1 - Highest Completed Year of School
2020,a1_grade,Adult 1 - Highest Completed Year of School
2021,a1_grade,Adult 1 - Highest Completed Year of School
2022,a1_grade,Adult 1 - Highest Completed Year of School
2016,a1_grade_i,Adult 1 - Highest Completed Year of School (Imputed)
2016,a1_grade_if,Imputation Flag for A1_GRADE_I
2017,a1_grade_if,Imputation Flag for A1_GRADE
2018,a1_grade_if,Imputation Flag for A1_GRADE
2019,a1_grade_if,Imputation Flag for A1_GRADE
2020,a1_grade_if,Imputation Flag for A1_GRADE
2021,a1_grade_if,Imputation Flag for A1_GRADE
2022,a1_grade_if,Imputation Flag for A1_GRADE
2016,a1_k11q50_r,Adult 1 - Employed 50 Out Of Last 52 Weeks
2017,a1_k11q50_r,Adult 1 - Employed 50 Out Of Last 52 Weeks
2018,a1_k11q50_r,Adult 1 - Employed 50 Out Of Last 52 Weeks
2019,a1_k11q50_r,Adult 1 - Employed 50 Out Of Last 52 Weeks
2016,a1_liveusa,Adult 1 - Come to Live in the United States (Year)
2017,a1_liveusa,Adult 1 - Come to Live in the United States (Year)
2018,a1_liveusa,Adult 1 - Come to Live in the United States (Year)
2019,a1_liveusa,Adult 1 - Come to Live in the United States (Year)
2020,a1_liveusa,Adult 1 - Come to Live in the United States (Year)
2021,a1_liveusa,Adult 1 - Come to Live in the United States (Year)
2022,a1_liveusa,Adult 1 - Come to Live in the United States (Year)
2016,a1_marital,Adult 1 - Marital Status
2017,a1_marital,Adult 1 - Marital Status
2018,a1_marital,Adult 1 - Marital Status
2019,a1_marital,Adult 1 - Marital Status
2020,a1_marital,Adult 1 - Marital Status
2021,a1_marital,Adult 1 - Marital Status
2022,a1_marital,Adult 1 - Marital Status
2016,a1_menthealth,Adult 1 - Mental or Emotional Health
2017,a1_menthealth,Adult 1 - Mental or Emotional Health
2018,a1_menthealth,Adult 1 - Mental or Emotional Health
2019,a1_menthealth,Adult 1 - Mental or Emotional Health
2020,a1_menthealth,Adult 1 - Mental or Emotional Health
2021,a1_menthealth,Adult 1 - Mental or Emotional Health
2022,a1_menthealth,Adult 1 - Mental or Emotional Health
2016,a1_physhealth,Adult 1 - Physical Health
2017,a1_physhealth,Adult 1 - Physical Health
2018,a1_physhealth,Adult 1 - Physical Health
2019,a1_physhealth,Adult 1 - Physical Health
2020,a1_physhealth,Adult 1 - Physical Health
2021,a1_physhealth,Adult 1 - Physical Health
2022,a1_physhealth,Adult 1 - Physical Health
2016,a1_relation,Adult 1 - How Related to Child
2017,a1_relation,Adult 1 - How Related to Child
