variable,desc,n.desc,n.unique,col.type,%NA.2016,%NA.2017,%NA.2018,%NA.2019,%NA.2020,%NA.2021,%NA.2022,diff2017.2016
stratum,Sampling Stratum,1,2,numeric,0,0,0,0,0,0,0,0
sc_sex,Sex of Selected Child,1,2,factor,0,0,0,0,0,0,0,0
sc_cshcn,Special Health Care Needs Status of Selected Child,1,2,factor,0,0,0,0,0,0,0,0
cbsafp_yn,Core Based Statistical Area Status,1,3,factor,52.9534772564327,53.4700680587064,52.0635440550279,57.292834573438,59.2538046146294,33.2075768293641,30.3217936158808,0.516590802273697
metro_yn,Metropolitan Statistical Area Status,1,3,factor,32.6953716243129,32.3811287559609,29.8919095971176,31.0943498793871,28.5597400472216,10.0330110822919,9.49670073748221,-0.31424286835199
mpc_yn,Metropolitan Principal City Status,1,3,factor,41.2630446905122,41.9047178110098,40.3668522764494,25.2165936194068,23.103536947425,17.3858366737405,14.1101232833669,0.641673120497536
sc_k2q10,SC Needs or Uses Medication Currently,2,3,factor,0.145383573647734,0.273160794481226,0.14739600393056,0.101926409132606,0.0911704888140823,0.0864575964788179,0.0776297063009445,0.127777220833492
sc_k2q13,SC Needs or Uses More Medical Care than Others,2,3,factor,0.0856368995459253,0.138895319227742,0.121192269898461,0.132504331872388,0.0748065549243753,0.0746679242317064,0.0757813799604458,0.0532584196818167
sc_k2q16,SC Limited Ability,2,3,factor,0.0896200111527125,0.162044539099032,0.140845070422535,0.122311690959128,0.0677934404002151,0.0825277057297807,0.0739330536199471,0.0724245279463199
sc_k2q19,SC Special Therapy,2,3,factor,0.0975862343662869,0.138895319227742,0.121192269898461,0.10872150307478,0.0654557355588283,0.0785978149807435,0.0591464428959577,0.0413090848614551
sc_k2q22,SC Needs Treatment for Emotion Develop Behave,2,3,factor,0.107544013383255,0.162044539099032,0.13429413691451,0.125709237930214,0.0794819646071487,0.0628782519845948,0.0702364009389498,0.0545005257157774
allergies,Allergies,1,3,factor,0.229028917390265,0.254641418584194,0.258761873566983,0.258213569802603,0.147275405007364,0.210249155073489,0.201467571114356,0.0256125011939284
autismmed,Autism ASD - Medication Currently,1,3,factor,97.4926312435274,97.1711653317283,97.2256796593515,97.0135562124146,97.0241017369147,96.9641593963688,96.467848363307,-0.321465911799123
autismtreat,Autism ASD - Behavioral Treatment,1,3,factor,97.4886481319207,97.1850548636511,97.1798231247953,97.0101586654435,97.0170886223905,96.9621944509943,96.456758405264,-0.303593268269552
blindness,Blindness,1,3,factor,0.493905839241616,0.402796425760452,0.399606943989519,0.305779227397819,0.231432779297286,0.314391259922974,0.415873426612203,-0.0911094134811637
blood,Blood Disorder,1,3,factor,0.40826893969569,0.328718922172323,0.17359973796266,0.231033194033908,0.151950814690137,0.227933663444156,0.284642256436797,-0.0795500175233675
breathing,Difficulty Breathing Past 12 Months,2,3,factor,0.444116944156775,0.375017361914904,0.32099574189322,0.254816022831516,0.187016387310938,0.286882024679714,0.360423636397242,-0.0690995822418718
cavities,Difficulty Cavities Past 12 Months,2,3,factor,1.5275233012029,0.963007546645678,0.645266950540452,0.32616450922434,0.292213105173341,0.332075768293641,0.438053342698187,-0.564515754557222
cystfib,Cystic Fibrosis,1,3,factor,0.464032502190711,0.365757673966387,0.245660006550934,0.258213569802603,0.156626224372911,0.141476066965338,0.212557529157348,-0.0982748282243241
downsyn,Down Syndrome,1,3,factor,0.348522265593882,0.26390110653271,0.278414674091058,0.203852818265213,0.338967202001075,0.422463255521497,0.500896438275142,-0.0846211590611721
genetic,Genetic Condition,1,3,factor,0.40826893969569,0.388906893837678,0.402882410743531,0.513029592634118,0.306239334221661,0.371374675784013,0.443598321719683,-0.0193620458580126
