variable,desc,n.desc,years,n.years
a1_age,Adult 1 - Age in Years,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a1_born,Adult 1 - Where Born,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a1_grade,Adult 1 - Highest Completed Year of School,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a1_marital,Adult 1 - Marital Status,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a1_menthealth,Adult 1 - Mental or Emotional Health,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a1_physhealth,Adult 1 - Physical Health,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a1_relation,Adult 1 - How Related to Child,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a1_sex,Adult 1 - Sex,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a2_age,Adult 2 - Age in Years,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a2_born,Adult 2 - Where Born,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a2_grade,Adult 2 - Highest Completed Year of School,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a2_marital,Adult 2 - Marital Status,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a2_menthealth,Adult 2 - Mental or Emotional Health,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a2_physhealth,Adult 2 - Physical Health,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a2_relation,Adult 2 - How Related to Child,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
a2_sex,Adult 2 - Sex,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
ace1,Hard to Cover Basics Like Food or Housing,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
ace10,Child Experienced - Treated Unfairly Because of Race,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
ace3,Child Experienced - Parent or Guardian Divorced,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
ace4,Child Experienced - Parent or Guardian Died,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
ace5,Child Experienced - Parent or Guardian Time in Jail,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others",1,"2016,2017,2018,2019,2020,2021,2022,2023",8
ace7,Child Experienced - Victim of Violence,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
ace8,Child Experienced - Lived with Mentally Ill,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
agepos4,Birth Order of Selected Children in Household,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
allergies,Allergies,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
althealth,Alternative Health Care,1,"2016,2017,2018,2019,2020,2021,2022",7
arrangehc,Hours Spent Arranging Health Medical Care,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
athomehc,Hours Spent Providing Home Health Care,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
autismmed,Autism ASD - Medication Currently,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
autismtreat,Autism ASD - Behavioral Treatment,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
bedtime,How Often - Go to Bed at Same Time,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
bestforchild,How Often - Work to Decide Together Treatment,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
birthwt,Birth Weight Status,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
blindness,Blindness,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
blood,Blood Disorder,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
bornusa,Born in the United States,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
breathing,Difficulty Breathing,2,2016,1
breathing,Difficulty Breathing Past 12 Months,2,"2017,2018,2019,2020,2021,2022,2023",7
c4q04,Frustrated In Efforts to Get Service,1,"2016,2017,2018,2019,2020,2021,2022,2023",8
cavities,Difficulty Cavities,2,2016,1
cavities,Difficulty Cavities Past 12 Months,2,"2017,2018,2019,2020,2021,2022,2023",7
